dimension,degradation_level,repetition,random_state,output_file,events_before_degradation,events_after_degradation,cases_before_degradation,cases_after_degradation,activities_before_degradation,activities_after_degradation
accuracy,10,1,1886,data\degraded\accuracy\accuracy_10_r1.csv,6764,6764,1000,999,30,30
accuracy,10,2,1887,data\degraded\accuracy\accuracy_10_r2.csv,6764,6764,1000,1000,30,30
accuracy,10,3,1888,data\degraded\accuracy\accuracy_10_r3.csv,6764,6764,1000,999,30,30
accuracy,10,4,1889,data\degraded\accuracy\accuracy_10_r4.csv,6764,6764,1000,1000,30,30
accuracy,10,5,1890,data\degraded\accuracy\accuracy_10_r5.csv,6764,6764,1000,1000,30,30
accuracy,20,1,2886,data\degraded\accuracy\accuracy_20_r1.csv,6764,6764,1000,998,30,30
accuracy,20,2,2887,data\degraded\accuracy\accuracy_20_r2.csv,6764,6764,1000,1000,30,30
accuracy,20,3,2888,data\degraded\accuracy\accuracy_20_r3.csv,6764,6764,1000,999,30,30
accuracy,20,4,2889,data\degraded\accuracy\accuracy_20_r4.csv,6764,6764,1000,1000,30,30
accuracy,20,5,2890,data\degraded\accuracy\accuracy_20_r5.csv,6764,6764,1000,999,30,30
accuracy,30,1,3886,data\degraded\accuracy\accuracy_30_r1.csv,6764,6764,1000,999,30,30
accuracy,30,2,3887,data\degraded\accuracy\accuracy_30_r2.csv,6764,6764,1000,999,30,30
accuracy,30,3,3888,data\degraded\accuracy\accuracy_30_r3.csv,6764,6764,1000,998,30,30
accuracy,30,4,3889,data\degraded\accuracy\accuracy_30_r4.csv,6764,6764,1000,1000,30,30
accuracy,30,5,3890,data\degraded\accuracy\accuracy_30_r5.csv,6764,6764,1000,1000,30,30
completeness,10,1,2341,data\degraded\completeness\completeness_10_r1.csv,6764,6089,1000,1000,30,30
completeness,10,2,2342,data\degraded\completeness\completeness_10_r2.csv,6764,6089,1000,999,30,29
completeness,10,3,2343,data\degraded\completeness\completeness_10_r3.csv,6764,6089,1000,999,30,29
completeness,10,4,2344,data\degraded\completeness\completeness_10_r4.csv,6764,6088,1000,999,30,30
completeness,10,5,2345,data\degraded\completeness\completeness_10_r5.csv,6764,6089,1000,999,30,29
completeness,20,1,3341,data\degraded\completeness\completeness_20_r1.csv,6764,5413,1000,997,30,30
completeness,20,2,3342,data\degraded\completeness\completeness_20_r2.csv,6764,5415,1000,998,30,30
completeness,20,3,3343,data\degraded\completeness\completeness_20_r3.csv,6764,5413,1000,996,30,30
completeness,20,4,3344,data\degraded\completeness\completeness_20_r4.csv,6764,5412,1000,997,30,30
completeness,20,5,3345,data\degraded\completeness\completeness_20_r5.csv,6764,5413,1000,994,30,30
completeness,30,1,4341,data\degraded\completeness\completeness_30_r1.csv,6764,4744,1000,991,30,30
completeness,30,2,4342,data\degraded\completeness\completeness_30_r2.csv,6764,4740,1000,992,30,29
completeness,30,3,4343,data\degraded\completeness\completeness_30_r3.csv,6764,4741,1000,992,30,30
completeness,30,4,4344,data\degraded\completeness\completeness_30_r4.csv,6764,4738,1000,991,30,29
completeness,30,5,4345,data\degraded\completeness\completeness_30_r5.csv,6764,4740,1000,992,30,29
consistency,10,1,2245,data\degraded\consistency\consistency_10_r1.csv,6764,6967,1000,1000,30,79
