dataset,dimension,degradation_level,repetition,miner,input_file,model_name,events_before,events_after,dropped_events,cases_before,cases_after,activities_before,activities_after,fitness,precision,generalization,simplicity,average_score,places,transitions,visible_transitions,hidden_transitions,unique_visible_transition_labels,duplicate_visible_transition_labels,arcs,pnml_path,visualization_path,pnml_saved,visualization_saved,visualization_error,pnml_error,status,error
bpi2019_1000,baseline,0,0,alpha,data/prepared/bpi2019_baseline_1000_cases.csv,bpi2019_1000_baseline_0_r0_alpha,6764,6764,0,1000,1000,30,30,,0.2385398981324278,0.6923414527867711,0.6619718309859156,0.4788564931486738,17,30,30,0,30,0,59,experiments\process_discovery\results\models\pnml\bpi2019_1000_baseline_0_r0_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_baseline_0_r0_alpha.png,True,True,,,ok,
bpi2019_1000,baseline,0,0,heuristics,data/prepared/bpi2019_baseline_1000_cases.csv,bpi2019_1000_baseline_0_r0_heuristics,6764,6764,0,1000,1000,30,30,,0.6415923800219807,0.5426960225757932,0.4984709480122324,0.659530749225441,55,108,30,78,30,0,245,experiments\process_discovery\results\models\pnml\bpi2019_1000_baseline_0_r0_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_baseline_0_r0_heuristics.png,True,True,,,ok,
bpi2019_1000,baseline,0,0,inductive,data/prepared/bpi2019_baseline_1000_cases.csv,bpi2019_1000_baseline_0_r0_inductive,6764,6764,0,1000,1000,30,30,,0.2622341167874822,0.7733521010931702,0.6206896551724138,0.6640689682632666,58,86,30,56,30,0,188,experiments\process_discovery\results\models\pnml\bpi2019_1000_baseline_0_r0_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_baseline_0_r0_inductive.png,True,True,,,ok,
bpi2019_1000,accuracy,10,1,alpha,data\degraded\accuracy\accuracy_10_r1.csv,bpi2019_1000_accuracy_10_r1_alpha,6764,6764,0,999,999,30,30,,0.9513928244474475,0.8443365824873692,0.2865497076023392,0.5805344573863005,19,30,30,0,30,0,110,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r1_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r1_alpha.png,True,True,,,ok,
bpi2019_1000,accuracy,10,1,heuristics,data\degraded\accuracy\accuracy_10_r1.csv,bpi2019_1000_accuracy_10_r1_heuristics,6764,6764,0,999,999,30,30,,0.853343502435664,0.3974320154180542,0.4193548387096774,0.6286519593950547,130,312,30,282,30,0,748,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r1_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r1_heuristics.png,True,True,,,ok,
bpi2019_1000,accuracy,10,1,inductive,data\degraded\accuracy\accuracy_10_r1.csv,bpi2019_1000_accuracy_10_r1_inductive,6764,6764,0,999,999,30,30,,0.3782055156020225,0.835533187054325,0.5033557046979865,0.6792736018385835,22,53,30,23,30,0,112,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r1_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r1_inductive.png,True,True,,,ok,
bpi2019_1000,accuracy,10,2,alpha,data\degraded\accuracy\accuracy_10_r2.csv,bpi2019_1000_accuracy_10_r2_alpha,6764,6764,0,1000,1000,30,30,,1.0,0.8427313982991738,0.2688172043010753,0.5868112284174875,20,30,30,0,30,0,118,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r2_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r2_alpha.png,True,True,,,ok,
bpi2019_1000,accuracy,10,2,heuristics,data\degraded\accuracy\accuracy_10_r2.csv,bpi2019_1000_accuracy_10_r2_heuristics,6764,6764,0,1000,1000,30,30,,0.750538380114611,0.4209531169612635,0.4280155642023346,0.6145707020240314,130,310,30,280,30,0,734,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r2_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r2_heuristics.png,True,True,,,ok,
bpi2019_1000,accuracy,10,2,inductive,data\degraded\accuracy\accuracy_10_r2.csv,bpi2019_1000_accuracy_10_r2_inductive,6764,6764,0,1000,1000,30,30,,0.3716775276461295,0.8586076547940934,0.4020618556701031,0.6580867595275814,5,34,30,4,30,0,68,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r2_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r2_inductive.png,True,True,,,ok,
bpi2019_1000,accuracy,10,3,alpha,data\degraded\accuracy\accuracy_10_r3.csv,bpi2019_1000_accuracy_10_r3_alpha,6764,6764,0,999,999,30,30,,0.9366440933032356,0.8452567371418134,0.2837837837837837,0.5773465970792515,12,30,30,0,30,0,95,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r3_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r3_alpha.png,True,True,,,ok,
bpi2019_1000,accuracy,10,3,heuristics,data\degraded\accuracy\accuracy_10_r3.csv,bpi2019_1000_accuracy_10_r3_heuristics,6764,6764,0,999,999,30,30,,0.7900635626530108,0.4347637116599253,0.4247144340602284,0.6178373144667918,114,295,30,265,30,0,686,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r3_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r3_heuristics.png,True,True,,,ok,
bpi2019_1000,accuracy,10,3,inductive,data\degraded\accuracy\accuracy_10_r3.csv,bpi2019_1000_accuracy_10_r3_inductive,6764,6764,0,999,999,30,30,,0.3755199049316696,0.8523433237217031,0.5121951219512195,0.6850145876511481,27,57,30,27,30,0,124,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r3_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r3_inductive.png,True,True,,,ok,
bpi2019_1000,accuracy,10,4,alpha,data\degraded\accuracy\accuracy_10_r4.csv,bpi2019_1000_accuracy_10_r4_alpha,6764,6764,0,1000,1000,30,30,,1.0,0.8465001915712351,0.247787610619469,0.5803839565735335,26,30,30,0,30,0,141,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r4_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r4_alpha.png,True,True,,,ok,
bpi2019_1000,accuracy,10,4,heuristics,data\degraded\accuracy\accuracy_10_r4.csv,bpi2019_1000_accuracy_10_r4_heuristics,6764,6764,0,1000,1000,30,30,,0.7203255224599789,0.4154975830044735,0.4201520912547528,0.602512831226065,128,314,30,284,30,0,747,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r4_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r4_heuristics.png,True,True,,,ok,
bpi2019_1000,accuracy,10,4,inductive,data\degraded\accuracy\accuracy_10_r4.csv,bpi2019_1000_accuracy_10_r4_inductive,6764,6764,0,1000,1000,30,30,,0.3721070389416641,0.8720869121965645,0.4339622641509434,0.6695390538222931,9,37,30,7,30,0,76,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r4_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r4_inductive.png,True,True,,,ok,
bpi2019_1000,accuracy,10,5,alpha,data\degraded\accuracy\accuracy_10_r5.csv,bpi2019_1000_accuracy_10_r5_alpha,6764,6764,0,1000,1000,30,30,,1.0,0.8479253385574369,0.2477064220183486,0.5803338329876199,24,30,30,0,30,0,136,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r5_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r5_alpha.png,True,True,,,ok,
bpi2019_1000,accuracy,10,5,heuristics,data\degraded\accuracy\accuracy_10_r5.csv,bpi2019_1000_accuracy_10_r5_heuristics,6764,6764,0,1000,1000,30,30,,0.7967243064111824,0.4174756056858374,0.4146788990825688,0.6160747120522699,130,322,30,292,30,0,771,experiments\process_discovery\results\models\pnml\bpi2019_1000_accuracy_10_r5_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_accuracy_10_r5_heuristics.png,True,True,,,ok,
